Judul,Perusahaan,Lokasi,Jurusan
Healthy & Safety Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Lingkungan, Teknik Industri, Kesehatan Masyarakat, Keselamatan dan Kesehatan Kerja, Teknik dan Manajemen Lingkungan"
Asisten Pengelola Pertanian,Direktorat Pestisida,"Kantor Pusat Kementerian Pertanian Gedung D Lantai 8 
Jl. Harsono RM. No. 3 Ragunan – Pasar Minggu – Jakarta Selatan 12550 DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Kimia, Teknik Pertanian, Teknik Lingkungan"
Creative Design Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
Main Plan Engginer,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Pertambangan, Teknik Pertambangan Batubara, Teknologi Pertambangan, TEKNIK GEOLOGI"
Multimedia & Communication Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
DPPM - Asisten Analis Riset Pada Tim DBMS,OJKI,"Wisma Mulia 2, Jl. Jenderal Gatot Subroto No 42, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Statistika, Ilmu Ekonomi"
Staff Accounting,Selamat Jaya Persada,"treasury Tower Lt 9 Lot 28 Jl Jendral sudirman  kav 52-53 kebayoran baru jakarta selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Akuntansi Keuangan, Akuntansi Keuangan Perusahaan, Akuntansi Manajemen, Akuntansi Perpajakan"
Pranata Komputer,Balai GTK Provinsi D.K.I. Jakarta,"Jalan Gardu, Srengseng Sawah, Jagakarsa, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komputer, Teknologi Komputer, Teknik Komputer Dan Jaringan, Pendidikan Ilmu Komputer"
Akuntan,Balai GTK Provinsi D.K.I. Jakarta,"Jalan Gardu, Srengseng Sawah, Jagakarsa, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Akuntansi Keuangan, Komputerisasi Akuntansi, Administrasi Keuangan Dan Perbankan"
Pengelola website dan media sosial,Balai GTK Provinsi D.K.I. Jakarta,"Jalan Gardu, Srengseng Sawah, Jagakarsa, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Sistem Informasi Visual"
Operation Management Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Industri, Teknik Mesin, Teknik Alat Berat, Teknik Elektro, Teknik Elektro Industri"
Psikiater,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Kedokteran
Dokter,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Pendidikan Dokter
Perawat,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Keperawatan
Dokter,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Pendidikan Dokter
Perawat,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Keperawatan
Psikolog,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Psikologi
DPPM - Asisten Analis Riset Pada Tim DBMS,OJKI,"Wisma Mulia 2, Jl. Jenderal Gatot Subroto No 42, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Manajemen, Statistika, Ilmu Ekonomi"
Project General Adminstration,China Civil Engineering Construction Corporation,"MZ Floor, Dea Tower 1, Jl. Mega Kuningan Barat Kav. E4.3 No. 1-2, Kuningan Timur, Setiabudi, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Perkantoran, Ilmu Administrasi Bisnis, Ilmu Komunikasi"
Sosiolog,LEMBAGA PEMASYARAKATAN PEREMPUAN KELAS IIA JAKARTA,"Jalan bambu asri raya, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Sosiologi
Talent Acquisition Intern,PT. Tri Adi Bersama,"Kuningan City Mall Lt. P6-P7, Jl. Prof. Dr. Satrio Kav. 18 Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Psikologi, Teknik Industri, Manajemen Sumber Daya Manusia, Manajemen"
Multimedia & Communication Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
Operation Management Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Industri, Teknik Mesin, Teknik Alat Berat, Teknik Elektro, Teknik Elektro Industri"
JKTIX. HC Strategy Intern,PT. Garuda Indonesia (Persero) Tbk,"Jl. Kebon Sirih No. 46 A Kel. Gambir, Kec. Gambir Jakarta Pusat, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Psikologi, Manajemen Sumber Daya Manusia, Teknik Industri, Desain Komunikasi Visual, Ilmu Hubungan Masyarakat"
PRO Support,PT Bundamedik Tbk,"JL.TEUKU CIK DITIRO NO. 28, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Administrasi Rumah Sakit, Informasi dan Humas, Informatika Medis, Komunikasi, Manajemen"
Asisten Pengelola Pertanian,Direktorat Perbibitan dan Produksi Ternak,"JALAN HARSONO RM NOMOR 3 GEDUNG C LANTAI 6-9 PASAR MINGGU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Peternakan, Agribisnis Peternakan, Penyuluhan Peternakan dan Kesejahteraan Hewan"
Affilate Talent Management Intern,Super Fantasi Dot Com,"SCTV Tower - Senayan City Lt. 16, Jl. Asia Afrika Lot. 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Komunikasi, Komunikasi Digital dan Media, Manajemen Komunikasi, Komunikasi Massa"
Food & Beverage Service Trainee,Perumda Pembangunan Sarana Jaya,"Jalan Raya Cikini No.107-109, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Perhotelan, Hospitality dan Pariwisata, Hospitaliti dan Pariwisata, Manajemen Perhotelan dan Pariwisata"
Asisten Pengelola Pertanian,Direktorat Alat dan Mesin Pertanian Pascapanen,"Kantor Pusat Kementerian Pertanian Gedung D Lantai 3 Jl. Harsono RM. No. 3 Ragunan – Pasar Minggu – Jakarta Selatan 12550
DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Mesin, Teknik Industri Pertanian, Teknologi Hasil Pertanian, Teknik Pertanian dan Biosistem"
Housekeeping Trainee,Perumda Pembangunan Sarana Jaya,"Jalan Raya Cikini No.107-109, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Hospitaliti dan Pariwisata
Asisten Pengelola Pertanian,Direktorat Pembiayaan Pertanian,"KANTOR PUSAT KEMENTERIAN PERTANIAN GEDUNG D
JALAN HARSONO RM NOMOR 3 RAGUNAN PASAR MINGGU, JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Agribinis, Agronomi dan Hortikultura, Ekonomi Pertanian dan Agribisnis"
KOL Intern,Super Fantasi Dot Com,"SCTV Tower - Senayan City Lt. 16, Jl. Asia Afrika Lot. 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Bisnis, Bisnis Internasional, Hubungan Internasional, Manajemen Sumber Daya Manusia"
Chef,Manhattan Hotel Casablanca,"Jl. Prof. Dr. Satrio Blok D/3 nomor 19-24, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Perhotelan, Manajemen Perhotelan dan Pariwisata, Manajemen Perhotelan, Tata Boga, Tata Hidangan"
Digital Marketing (Social Media) Intern,Gamma Buana Persada,"JL.PERINTIS KEMERDEKAAN KOMP.PERTOKOAN PULOMAS BLOK V NO.5, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Bisnis Digital, Komunikasi Digital dan Media, Pemasaran Digital"
Operation Management Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Teknik Industri, Teknik Mesin, Teknik Alat Berat, Teknik Elektro, Teknik Elektro Industri"
Research & Development Internship,PT. Uni-Charm Indonesia Tbk,"SINARMAS PLAZA SUDIRMAN TOWER LANTAI 42, JL. JENDERAL SUDIRMAN KAVLING 21, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Kimia, Pendidikan Dokter Hewan, Penyuluhan Peternakan dan Kesejahteraan Hewan, Kesehatan Hewan, Fisika"
Food & Beverage Service Trainee,Perumda Pembangunan Sarana Jaya,"Jalan Raya Cikini No.107-109, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Perhotelan, Hospitality dan Pariwisata, Hospitaliti dan Pariwisata, Manajemen Perhotelan dan Pariwisata"
Housekeeping Trainee,Perumda Pembangunan Sarana Jaya,"Jalan Raya Cikini No.107-109, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA",Hospitaliti dan Pariwisata
Asisten Pengelola Pertanian,Direktorat Pembiayaan Pertanian,"KANTOR PUSAT KEMENTERIAN PERTANIAN GEDUNG D
JALAN HARSONO RM NOMOR 3 RAGUNAN PASAR MINGGU, JAKARTA SELATAN, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Agribinis, Agronomi dan Hortikultura, Ekonomi Pertanian dan Agribisnis"
Production Planning Intern,Mustika Ratu,"GRAHA MUSTIKA RATU, JL. GATOT SUBROTO KAV.74-75, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Industri, Manajemen, Manajemen Logistik, Farmasi"
Asisten Pengelola Pertanian,Direktorat Alat dan Mesin Pertanian Pascapanen,"Kantor Pusat Kementerian Pertanian Gedung D Lantai 3 Jl. Harsono RM. No. 3 Ragunan – Pasar Minggu – Jakarta Selatan 12550
DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Mesin, Teknik Industri Pertanian, Teknologi Hasil Pertanian, Teknik Pertanian dan Biosistem"
Asisten Pengelola Pertanian,Direktorat Perbibitan dan Produksi Ternak,"JALAN HARSONO RM NOMOR 3 GEDUNG C LANTAI 6-9 PASAR MINGGU, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Peternakan, Agribisnis Peternakan, Penyuluhan Peternakan dan Kesejahteraan Hewan"
Production Coordinator Intern,Mustika Ratu,"GRAHA MUSTIKA RATU, JL. GATOT SUBROTO KAV.74-75, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Industri, Farmasi"
Multimedia & Communication Intern,PT United Tractors Tbk,"Jl. Raya Bekasi KM 22 Cakung, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Desain Komunikasi Visual, Ilmu Komunikasi, Desain Grafis, Produksi Media, Multimedia"
Affilate Talent Management Intern,Super Fantasi Dot Com,"SCTV Tower - Senayan City Lt. 16, Jl. Asia Afrika Lot. 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Komunikasi, Komunikasi Digital dan Media, Manajemen Komunikasi, Komunikasi Massa"
KOL Intern,Super Fantasi Dot Com,"SCTV Tower - Senayan City Lt. 16, Jl. Asia Afrika Lot. 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Bisnis, Bisnis Internasional, Hubungan Internasional, Manajemen Sumber Daya Manusia"
Partner Relations Intern,Paragon Pratama Teknologi,"Jl. Letjen Suprapto 400, Cempaka Putih Jakarta Pusat, 10510 - Indonesia, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Administrasi Bisnis, Hubungan Internasional, Sosiologi, Manajemen"
WLA Project Internship,Bumi Hijau Motor,"CYBER 2 TOWER LANTAI 32, JALAN H. R. RASUNA SAID BLOK X-5 NOMOR 13, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Industri, Psikologi, Bimbingan Konseling, Manajemen"
Tenaga Magang Bidang Administrasi Perkantoran,"Direktorat Kepatuhan Intern, Ditjen Prasarana Strategis","Jalan Pattimura No. 20, Selong, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Perkantoran, Administrasi Pemerintahan, Administrasi, Manajemen Administrasi Perkantoran, Manajemen Administrasi"
Tenaga Magang Bidang Ekonomi,"Direktorat Kepatuhan Intern, Ditjen Prasarana Strategis","Jalan Pattimura No. 20, Selong, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen"
Warehouse Admin Intern,PT Adi Sarana Armada Tbk,"Samudera Kirana, Lt. 6, Jl. Yos Sudarso No.88, RT.9/RW.11, Sunter Jaya, Tj. Priok, Kota Jkt Utara,
Daerah Khusus Ibukota Jakarta, KOTA ADM. JAKARTA UTARA, DKI JAKARTA","Logistik, Bisnis Logistik, Administrasi Logistik"
CREDIT SUPPORT STAFF,PT Bank Negara Indonesia (Persero) Tbk,"Jl. Jatinegara Timur no. 88, kel. Balimester, kec. Jatinegara Jakarta Timur 13310, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Statistik, Matematika, Ekonomi, Teknik Industri, Teknik Sipil"
Pembantu Pembimbing Kemasyarakatan,BALAI PEMASYARAKATAN KELAS I JAKARTA TIMUR/UTARA,"Jl. Pembina I Nomor 2 Cipinang Muara, Jakarta Timur, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA",Hukum
MHJS -  Admin Medis,Nirmala Kencana Mas,"Jl. Lebak Bulus 1 No. Kav. 29, Cilandak, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Hubungan Internasional, Ilmu Hubungan Internasional"
KOL Intern,Super Fantasi Dot Com,"SCTV Tower - Senayan City Lt. 16, Jl. Asia Afrika Lot. 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Bisnis, Bisnis Internasional, Hubungan Internasional, Manajemen Sumber Daya Manusia"
Perawat,RUDENIM JAKARTA,"Jl. Peta Selatan No.5D 10, RT.10/RW.1, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",Keperawatan
MHJS -  Admin Medis,Nirmala Kencana Mas,"Jl. Lebak Bulus 1 No. Kav. 29, Cilandak, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi, Hubungan Internasional, Ilmu Hubungan Internasional"
WLA Project Internship,Bumi Hijau Motor,"CYBER 2 TOWER LANTAI 32, JALAN H. R. RASUNA SAID BLOK X-5 NOMOR 13, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Industri, Psikologi, Bimbingan Konseling, Manajemen"
Tenaga Magang Bidang Administrasi Perkantoran,"Direktorat Kepatuhan Intern, Ditjen Prasarana Strategis","Jalan Pattimura No. 20, Selong, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Perkantoran, Administrasi Pemerintahan, Administrasi, Manajemen Administrasi Perkantoran, Manajemen Administrasi"
Tenaga Magang Bidang Ekonomi,"Direktorat Kepatuhan Intern, Ditjen Prasarana Strategis","Jalan Pattimura No. 20, Selong, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ekonomi, Akuntansi, Manajemen"
Sosiolog,RUDENIM JAKARTA,"Jl. Peta Selatan No.5D 10, RT.10/RW.1, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",Sosiologi
Office Support Intern,PT. Bumitama Gunajaya Agro,"Jl. Melawai Raya No. 10 Kebayoran Baru Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Teknik Industri, Hukum, Manajemen Keuangan"
Wardrobe,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Tata Busana, Desain Komunikasi Visual"
Partner Relations Intern,Paragon Pratama Teknologi,"Jl. Letjen Suprapto 400, Cempaka Putih Jakarta Pusat, 10510 - Indonesia, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Administrasi Bisnis, Hubungan Internasional, Sosiologi, Manajemen"
Affilate Talent Management Intern,Super Fantasi Dot Com,"SCTV Tower - Senayan City Lt. 16, Jl. Asia Afrika Lot. 19, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Komunikasi, Komunikasi Digital dan Media, Manajemen Komunikasi, Komunikasi Massa"
Audio Person,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Multimedia Broadcasting, Penyuntingan Audio dan Video, Teknik Elektronika, Desain Komunikasi Visual"
Unit Production Manager,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Administrasi, Hubungan Masyarakat, hubungan Internasional, Manajemen Komunikasi"
Chef,Manhattan Hotel Casablanca,"Jl. Prof. Dr. Satrio Blok D/3 nomor 19-24, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Perhotelan, Manajemen Perhotelan dan Pariwisata, Manajemen Perhotelan, Tata Boga, Tata Hidangan"
Psikiater,RUDENIM JAKARTA,"Jl. Peta Selatan No.5D 10, RT.10/RW.1, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",Kedokteran
Social Media Officer,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Ilmu Hubungan Internasional, Jurnalistik, Penyiaran"
Camera Person,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Multimedia dan Broadcasting, Film Dan Televisi, Multimedia, Ilmu Komunikasi"
News Developer,Trans News Corpora,"GEDUNG TRANSMEDIA LT. 3, JL KAPTEN TENDEAN KAV 12-14, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Hubungan Internasional, Ilmu Komunikasi"
Property,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Multimedia dan Broadcasting, Penyiaran, Desain Komunikasi Visual, Desain Interior, Pendidikan Seni Rupa"
Video Journalist,Trans News Corpora,"GEDUNG TRANSMEDIA LT. 3, JL KAPTEN TENDEAN KAV 12-14, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Ilmu Komunikasi, Penyuntingan Audio dan Video"
Camera Person,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Multimedia dan Broadcasting, Film Dan Televisi, Multimedia, Ilmu Komunikasi"
Psikiater,RUDENIM JAKARTA,"Jl. Peta Selatan No.5D 10, RT.10/RW.1, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",Kedokteran
Tenaga Magang Bidang Administrasi Perkantoran,"Direktorat Kepatuhan Intern, Ditjen Prasarana Strategis","Jalan Pattimura No. 20, Selong, Kebayoran Baru, Jakarta Selatan, DKI Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Administrasi Perkantoran, Administrasi Pemerintahan, Administrasi, Manajemen Administrasi Perkantoran, Manajemen Administrasi"
Agronomi Support Intern,PT. Bumitama Gunajaya Agro,"Jl. Melawai Raya No. 10 Kebayoran Baru Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Proteksi Tanaman, Agroteknologi/Agroekoteknologi, Penyuluhan Pertanian, Agribisnis"
Audio Person,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Multimedia Broadcasting, Penyuntingan Audio dan Video, Teknik Elektronika, Desain Komunikasi Visual"
Partner Relations Intern,Paragon Pratama Teknologi,"Jl. Letjen Suprapto 400, Cempaka Putih Jakarta Pusat, 10510 - Indonesia, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Administrasi Bisnis, Hubungan Internasional, Sosiologi, Manajemen"
Perawat Poli Mata,Anugrahsukses Utama Sejahtera,"Gedung Mayapada Tower II Lantai 2, Jalan Jenderal Sudirman Kav. 27, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Keperawatan, Keperawatan"
Office Support Intern,PT. Bumitama Gunajaya Agro,"Jl. Melawai Raya No. 10 Kebayoran Baru Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Teknik Industri, Hukum, Manajemen Keuangan"
Pengelola Kehumasan,RUDENIM JAKARTA,"Jl. Peta Selatan No.5D 10, RT.10/RW.1, Kalideres, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11840, KOTA ADM. JAKARTA BARAT, DKI JAKARTA",Ilmu Komunikasi
Public Relation,Mili Jaya Damarhadi,"Jl. Mampang Prapatan Raya No. 73A Lantai 3, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Pendidikan Bahasa Indonesia, Pendidikan Bahasa Arab, Pendidikan  Bahasa Inggris, Perbankan Syari'ah, Hukum Pidana Islam"
Food & Beverage Service Trainee,Perumda Pembangunan Sarana Jaya,"Jalan Raya Cikini No.107-109, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Perhotelan, Hospitality dan Pariwisata, Hospitaliti dan Pariwisata, Manajemen Perhotelan dan Pariwisata"
News Developer,Trans News Corpora,"GEDUNG TRANSMEDIA LT. 3, JL KAPTEN TENDEAN KAV 12-14, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Hubungan Internasional, Ilmu Komunikasi"
Property,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Multimedia dan Broadcasting, Penyiaran, Desain Komunikasi Visual, Desain Interior, Pendidikan Seni Rupa"
Video Journalist,Trans News Corpora,"GEDUNG TRANSMEDIA LT. 3, JL KAPTEN TENDEAN KAV 12-14, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Ilmu Komunikasi, Penyuntingan Audio dan Video"
Assignment Editor,Trans News Corpora,"GEDUNG TRANSMEDIA LT. 3, JL KAPTEN TENDEAN KAV 12-14, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Jurnalistik, Komunikasi Massa, Sastra Indonesia"
Social Media Officer,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Desain Komunikasi Visual, Ilmu Hubungan Internasional, Jurnalistik, Penyiaran"
Customer Service,PT Matahari Putra Prima,"GAJAH MADA PLAZA LT.SG.JL GAJAH MADA NO.19-26 KEL.PETOJO UTARA,KEC GAMBIR JAKARTA PUSAT, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Ilmu Komputer, Administrasi"
Magang Jurusan Teknik Industri,Pertamina Hulu Energi,"JL. TB. SIMATUPANG KAV. 99, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Teknik Industri
Magang QC Material Aktif,"PT. Bali Towerindo Sentra, Tbk.","Autograph Tower Lantai 77 Jl. MH Thamrin Plaza UOB No.10, RT.14/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Informatika, Teknik Elektro, Teknik Telekomunikasi"
Unit Production Manager,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Ilmu Komunikasi, Administrasi, Hubungan Masyarakat, hubungan Internasional, Manajemen Komunikasi"
Customer Service,PT Matahari Putra Prima,"GAJAH MADA PLAZA LT.SG.JL GAJAH MADA NO.19-26 KEL.PETOJO UTARA,KEC GAMBIR JAKARTA PUSAT, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Ilmu Komunikasi, Ilmu Komputer, Administrasi"
Magang QC Material Aktif,"PT. Bali Towerindo Sentra, Tbk.","Autograph Tower Lantai 77 Jl. MH Thamrin Plaza UOB No.10, RT.14/RW.20, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Teknik Informatika, Teknik Elektro, Teknik Telekomunikasi"
Chef,Manhattan Hotel Casablanca,"Jl. Prof. Dr. Satrio Blok D/3 nomor 19-24, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Perhotelan, Manajemen Perhotelan dan Pariwisata, Manajemen Perhotelan, Tata Boga, Tata Hidangan"
Property,PT Televisi Transformasi Indonesia,"Jl. Kapten Tendean Kav. 12-14A, Mampang Prapatan, Jakarta Selatan, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknologi Multimedia dan Broadcasting, Penyiaran, Desain Komunikasi Visual, Desain Interior, Pendidikan Seni Rupa"
